Month,Date,Fertilizer,Insecticide,Surfactant,Weed Control,Total_Volume,Embedding_Summary,Notes_Preview
2023-09,2023-09-28,1,0,0,0,7.0,[768 dims],"• Today, I applied sulfur to your lawn. This annual application of sulfur is part of your regular l"
2023-11,2023-11-06,1,0,0,1,7.37,[768 dims],"• Today, I applied potash fertilizer to strengthen the root system of your lawn plus weed control to"
2024-01,2024-01-25,1,0,0,1,3.92,[768 dims],"• Today, I applied fertilizer to thicken up your lawn and improve its health and color.  • Today, I"
2024-02,2024-02-02,1,0,0,0,7.0,[768 dims],"• Today, I applied sulfur to your lawn. This annual application of sulfur is part of your regular l"
2024-03,2024-03-06,2,0,1,1,0.83,[768 dims],"• Today, I applied fertilizer, preemergent crabgrass control, and broadleaf weed control. This will"
2024-04,2024-04-16,1,0,0,0,3.0,[768 dims],"• Today, I applied fertilizer to thicken up your lawn and improve its health and color.  WHAT I NOT"
2024-05,2024-05-17,3,0,1,0,3.11,[768 dims],"• Today, I applied fertilizer to thicken up your lawn and improve its health and color.  • Today, I"
2024-07,2024-07-03,3,1,1,0,1.19,[768 dims],"• Today, I applied iron to your lawn. This treatment should enhance turf color.  • Today, I treated"
2024-08,2024-08-07,1,1,0,0,0.24,[768 dims],"• Today, I applied iron and insect control to your lawn. This treatment should help control active p"
2024-09,2024-09-16,1,0,1,2,0.52,[768 dims],• Today I applied preemergent and broadleaf weed control. This will help prevent annual grasses and
2024-10,2024-10-18,1,0,1,2,0.52,[768 dims],• Today I applied preemergent and broadleaf weed control. This will help prevent annual grasses and
2025-01,2025-01-15,1,0,0,2,7.55,[768 dims],"• Today, I applied potash fertilizer to strengthen the root system of your lawn plus weed control to"
2025-02,2025-02-24,2,0,0,0,10.0,[768 dims],"• Today, I applied fertilizer to thicken up your lawn and improve its health and color.  WHAT I NOT"
2025-04,2025-04-10,2,0,0,2,0.92,[768 dims],"• Today, I applied fertilizer, preemergent crabgrass control, and broadleaf weed control. This will"
2025-06,2025-06-14,1,1,0,0,1.01,[768 dims],"• Today, I applied iron to your lawn. This treatment should enhance turf color.  WHAT I NOTICED • I"
2025-07,2025-07-16,2,1,1,1,1.78,[768 dims],"• Today, I applied iron and insect control to your lawn. This treatment should help control active p"
2025-08,2025-08-18,1,1,0,0,0.24,[768 dims],"• Today, I applied iron and insect control to your lawn. This treatment should help control active p"
2025-10,2025-10-02,1,0,1,1,0.15,[768 dims],• Today I applied preemergent and broadleaf weed control. This will help prevent annual grasses and
2025-11,2025-11-07,2,0,1,0,6.47,[768 dims],"• Today, I applied potash fertilizer to strengthen the root system of your lawn plus weed control to"
